Serial,English,Pronunciation,Bangla,POS
8,add,অ্যাড,যোগ করা,v
9,address,অ্যাড্রেস,ঠিকানা,n
10,adult,অ্যাডাল্ট,প্রাপ্তবয়স্ক,n
15,again,অ্যাগেইন,"আবার, পুনরায়",adv
16,age,এইজ,বয়স,n
1,"a, an","আ, অ্যান",একটি,indefinite article
17,ago,অ্যাগো,"আগে, পূবে (সময় বোঝাতে)",adv.
2,about,অ্যাবাউট,"সম্পকে, প্রায়","prep , adv"
18,agree,অ্যাগ্রি,একমত হওয়া,v
3,above,অ্যাভাব,উপরে,"prep , adv."
19,air,এয়ার,বাতাস,n
4,action,অ্যাকশন,"কাজ, কম",n
20,airport,এয়ারপোর্ট,বিমানবন্দর,n
5,activity,অ্যাক্টিভিটি,কার্যকলাপ,n
21,all,অল,"সব, সমস্ত","det , pron"
6,actor,অ্যাক্টর,অভিনেতা,n
22,also,অলসো,"এছাড়াও, আরও",adv
7,actress,অ্যাক্ট্রেস,- অভিনেত্রী,n
23,always,অলওয়েজ,সবসময় (adv) Facebook Biborno Sahin,01726505437
553,order,অর্ডার,"আদেশ, ক্রম (n); আদেশ করা",v
554,other,আদার,অন্য,adj  pron
555,Ou1,আওযার,আমাদের,det
556,out,আউট,বাইরে,adv. prep
558,over,ওভার,"উপর দিয়ে, শেষ","prep , adv"
559,own,ওন,নিজের,adj  pron
560,page,পেইজ,পৃষ্ঠা,n
561,paint,পেইন্ট,রং করা (v.); রং,n
562,painting,পেইন্টিং,চিত্রকম,n
563,pair,পেয়ার,জোড়া,n
564,paper,পেপার,কাগজ,n
565,paragraph,প্যারাগ্রাফ,অনুচ্ছেদ,n
566,parent,প্যারেন্ট,পিতা বা মাতা,n
568,part,পাট,অংশ,n
569,partner,পার্টনার,"অং শীদার, সঙ্গী",n
570,party,পাটি,"পার্টি, দল",n
571,passport,পাসপোর্ট,পাসপোর্ট,n
572,past,পাস্ট,অতীত,"adj , n , prep"
573,pay,পে,পরিশোধ করা,v
574,pen,পেন,কলম,n
575,pencil,পেন্সিল,পেন্সিল,n
576,people,পিপল,মানুষ,n
577,pepper,পেপার,গোলমরিচ; ক্যাপসিকাম,n
578,perfect,পারফেক্ট,- নিখুঁত,adj
579,period,পিরিয়ড,সময়কাল; পূণচ্ছেদ,n
580,person,পাসন,ব্যক্তি,n
581,personal,পাসোনাল,ব্যক্তিগত,adj
582,phone,ফোন,ফোন (n); ফোন করা,V.
583,photo,ফোটো,ছবি,n
584,photograph,ফোটোগ্রাফ,ছবি,n
585,phrase,ফ্রেজ,"শব্দগুচ্ছ, বাক্যাংশ",n
586,piano,পিয়ানো,পিয়ানো,n
587,picture,পিকচার,ছবি,n
588,piece,পিস,"টুকরা, অংশ",n
589,pig,পিগ,শূকর,n
590,pink,পিঙ্ক,গোলাপী,"adj , n"
591,place,প্লেস,স্থান,n
592,plan,প্ল্যান,পরিকল্পনা (n ); পরিকল্পনা করা,v
593,plane,প্লেইন,বিমান,n
594,plant,প্ল্যান্ট,গাছ,n
595,play,প্লে,খেলা করা (v); খেলা,n.
596,player,প্লেয়ার,খেলোয়াড়,n
597,please,প্লিজ,দয়া করে,exclam
598,point,পয়েন্ট,বিন্দু; মূল বিষয়,n
599,police,পুলিশ,পুলিশ,n
600,policeman,পুলিশম্যান,পুলিশ সদস্য (পুরুষ),n
601,pool,পুল,পুকুর; সুইমিং পুল,n
602,poor,পুর,"গরিব, দরিদ্র",adj
603,popular,পপুলার,জনপ্রিয়,adj
604,positive,পজিটিভ,- ইতিবাচক,adj
605,possible,পসিবল,সম্ভব,adj
607,potato,পটাটো,আলু,n
609,practice,প্র্যাকটিস,- অনুশীলন,n
610,practise,প্র্যাকটিস,অনুশীলন করা,v
611,prefer,প্রেফার,পছন্দ করা,v
612,prepare,প্রিপেয়ার,প্রস্তুত করা,v
613,present,প্রেজেন্ট,ব্তমান (adj ); উপহার,n.
648,ride,রাইড,"চড়া (সাইকেল, ঘোড়া)",v
615,price,প্রাইস,দাম,n
